matchday,trap_type,h_rank,a_rank,h_points,a_points,h_gd,a_gd,h_gs,a_gs,h_gc,a_gc,won
26,GRAVITY_HOME_DOG,16,4,20,45,-21,24,24,38,45,14,True
26,GRAVITY_HOME_DOG,13,9,23,32,-17,-5,20,26,37,31,True
27,GRAVITY_AWAY_DOG,10,13,30,23,-14,-18,22,20,36,38,False
27,GRAVITY_AWAY_DOG,12,16,24,20,-17,-23,21,24,38,47,False
29,GRAVITY_AWAY_DOG,3,16,51,22,28,-16,44,19,16,35,True
6,GRAVITY_AWAY_DOG,9,15,8,1,3,-5,11,3,8,8,True
6,GRAVITY_HOME_DOG,14,5,1,10,-4,4,7,12,11,8,False
21,GRAVITY_AWAY_DOG,10,16,25,12,-12,-20,18,15,30,35,False
6,GRAVITY_AWAY_DOG,10,14,5,3,-3,-6,4,7,7,13,True
16,GRAVITY_AWAY_DOG,4,16,25,8,8,-15,21,11,13,26,True
25,GRAVITY_AWAY_DOG,8,16,34,16,-3,-20,30,22,33,42,True
29,GRAVITY_AWAY_DOG,14,13,22,28,-19,-9,26,20,45,29,True
30,GRAVITY_AWAY_DOG,5,13,46,28,16,-10,44,21,28,31,True
30,CRUSHER_AWAY_FAV,15,2,21,58,-23,23,39,48,62,25,False
7,GRAVITY_HOME_DOG,14,4,4,11,-8,7,5,14,13,7,True
8,GRAVITY_AWAY_DOG,16,15,2,4,-10,-11,3,5,13,16,False
9,GRAVITY_HOME_DOG,16,2,2,17,-11,14,4,21,15,7,True
14,GRAVITY_HOME_DOG,15,12,8,14,-14,-4,13,15,27,19,False
19,GRAVITY_AWAY_DOG,8,15,26,16,2,-20,25,13,23,33,True
20,GRAVITY_HOME_DOG,15,14,16,17,-21,-16,13,21,34,37,False
24,GRAVITY_HOME_DOG,14,11,20,24,-15,-17,16,28,31,45,False
25,GRAVITY_AWAY_DOG,9,15,33,19,-5,-25,29,17,34,42,True
25,GRAVITY_HOME_DOG,16,13,15,23,-23,-14,18,18,41,32,False
26,GRAVITY_HOME_DOG,14,8,23,34,-17,1,35,32,52,31,True
27,GRAVITY_AWAY_DOG,9,13,35,23,-5,-18,32,36,37,54,True
28,GRAVITY_HOME_DOG,14,12,23,27,-19,-21,38,31,57,52,True
29,GRAVITY_AWAY_DOG,16,15,19,23,-27,-23,22,38,49,61,False
8,GRAVITY_AWAY_DOG,9,15,10,6,0,-8,11,6,11,14,True
9,GRAVITY_HOME_DOG,15,10,6,10,-12,-2,7,11,19,13,True
10,GRAVITY_AWAY_DOG,10,15,12,6,2,-13,15,8,13,21,True
11,GRAVITY_HOME_DOG,15,12,6,12,-10,-11,11,11,21,22,False
14,GRAVITY_HOME_DOG,13,12,12,12,-17,-7,12,15,29,22,False
15,GRAVITY_HOME_DOG,16,15,7,9,-24,-18,10,11,34,29,True
16,GRAVITY_HOME_DOG,16,12,7,15,-26,-17,10,16,36,33,False
19,GRAVITY_HOME_DOG,14,8,15,21,-24,-1,16,21,40,22,True
20,GRAVITY_AWAY_DOG,6,15,35,15,8,-26,32,17,24,43,True
21,GRAVITY_HOME_DOG,16,11,15,22,-27,-9,17,20,44,29,True
25,GRAVITY_HOME_DOG,16,8,17,28,-34,0,20,28,54,28,False
13,GRAVITY_AWAY_DOG,14,16,11,4,-6,-10,7,7,13,17,True
15,GRAVITY_HOME_DOG,16,11,8,16,-12,-7,16,19,28,26,False
18,GRAVITY_HOME_DOG,14,4,16,30,-14,6,18,26,32,20,False
18,GRAVITY_HOME_DOG,16,13,12,16,-11,-9,9,16,20,25,False
23,GRAVITY_AWAY_DOG,15,16,18,18,-12,-16,17,25,29,41,True
23,GRAVITY_AWAY_DOG,2,14,45,19,12,-22,37,22,25,44,True
28,GRAVITY_AWAY_DOG,9,16,39,20,1,-30,30,25,29,55,True
29,GRAVITY_HOME_DOG,16,5,20,48,-34,2,25,34,59,32,True
30,GRAVITY_AWAY_DOG,13,16,30,20,-9,-35,28,25,37,60,True
7,GRAVITY_AWAY_DOG,8,16,7,1,1,-11,10,2,9,13,True
8,GRAVITY_HOME_DOG,16,10,1,9,-12,0,2,8,14,8,True
12,GRAVITY_AWAY_DOG,14,16,8,7,-14,-11,9,11,23,22,True
13,GRAVITY_AWAY_DOG,3,16,25,7,12,-13,22,12,10,25,True
20,GRAVITY_AWAY_DOG,15,16,16,9,-15,-20,20,19,35,39,True
21,GRAVITY_HOME_DOG,16,6,9,31,-21,1,20,25,41,24,True
22,GRAVITY_AWAY_DOG,15,16,17,9,-18,-22,13,20,31,42,True
23,GRAVITY_HOME_DOG,16,7,9,29,-25,1,20,24,45,23,True
24,GRAVITY_AWAY_DOG,3,16,48,9,22,-27,32,20,10,47,True
25,GRAVITY_HOME_DOG,16,11,9,29,-30,-11,20,29,50,40,True
26,GRAVITY_AWAY_DOG,1,16,58,9,38,-31,60,21,22,52,True
27,CRUSHER_AWAY_FAV,13,3,25,57,-16,27,26,39,42,12,True
28,GRAVITY_AWAY_DOG,9,15,33,25,-14,-19,34,26,48,45,False
29,CRUSHER_AWAY_FAV,15,1,25,63,-22,31,30,43,52,12,False
7,GRAVITY_AWAY_DOG,14,15,2,1,-8,-11,5,2,13,13,False
7,GRAVITY_HOME_DOG,16,2,1,13,-14,7,3,10,17,3,True
8,GRAVITY_AWAY_DOG,11,16,8,1,1,-15,10,4,9,19,True
7,GRAVITY_HOME_DOG,15,13,3,6,-5,-9,4,10,9,19,False
8,GRAVITY_HOME_DOG,14,8,6,10,-11,-2,10,9,21,11,True
9,GRAVITY_HOME_DOG,15,8,6,11,-13,-6,11,8,24,14,True
10,GRAVITY_AWAY_DOG,11,15,10,6,-1,-14,2,12,3,26,False
13,GRAVITY_HOME_DOG,14,10,10,14,-6,-2,3,16,9,18,True
13,GRAVITY_HOME_DOG,15,16,7,5,-11,-15,7,9,18,24,False
14,CRUSHER_AWAY_FAV,16,2,5,26,-20,7,9,21,29,14,False
14,GRAVITY_AWAY_DOG,3,15,25,10,7,-7,23,3,16,10,True
15,GRAVITY_HOME_DOG,15,3,10,28,-9,6,3,20,12,14,True
19,GRAVITY_HOME_DOG,16,2,8,35,-26,10,12,32,38,22,True
20,GRAVITY_AWAY_DOG,3,16,38,8,11,-27,30,12,19,39,True
21,GRAVITY_HOME_DOG,16,8,8,30,-32,-8,12,19,44,27,True
25,GRAVITY_HOME_DOG,15,10,18,27,-17,-7,18,33,35,40,False
29,GRAVITY_HOME_DOG,14,1,26,57,-13,20,17,52,30,32,True
30,GRAVITY_AWAY_DOG,2,15,58,26,20,-15,46,17,26,32,True
10,GRAVITY_AWAY_DOG,11,16,11,1,1,-19,9,3,8,22,True
11,GRAVITY_HOME_DOG,16,1,1,23,-21,14,3,19,24,5,True
13,GRAVITY_HOME_DOG,14,12,10,13,-13,-4,7,15,20,19,True
17,GRAVITY_HOME_DOG,16,10,3,21,-31,-7,8,14,39,21,True
29,GRAVITY_HOME_DOG,15,8,26,38,-27,-1,21,48,48,49,False
13,GRAVITY_HOME_DOG,13,16,11,8,-8,-11,12,9,20,20,False
13,GRAVITY_AWAY_DOG,2,15,23,8,14,-7,25,10,11,17,True
15,GRAVITY_HOME_DOG,16,13,8,13,-14,-3,10,4,24,7,False
26,GRAVITY_AWAY_DOG,3,16,45,20,22,-21,43,18,21,39,True
27,GRAVITY_AWAY_DOG,6,15,41,20,15,-12,44,7,29,19,True
27,GRAVITY_HOME_DOG,16,12,20,28,-24,-8,18,22,42,30,True
28,GRAVITY_HOME_DOG,16,3,20,49,-13,9,8,41,21,32,True
29,GRAVITY_AWAY_DOG,10,16,33,20,-11,-15,28,9,39,24,True
30,GRAVITY_HOME_DOG,16,14,20,25,-17,-18,9,27,26,45,False
30,GRAVITY_AWAY_DOG,9,13,36,29,-9,-19,30,21,39,40,True
6,GRAVITY_HOME_DOG,14,9,3,7,-6,1,1,4,7,3,True
7,GRAVITY_AWAY_DOG,9,15,8,3,1,-7,10,1,9,8,True
8,GRAVITY_HOME_DOG,16,10,3,11,-9,0,1,7,10,7,True
17,GRAVITY_HOME_DOG,16,11,10,21,-15,-2,7,13,22,15,True
20,GRAVITY_HOME_DOG,16,4,15,31,-16,8,13,30,29,22,True
25,GRAVITY_AWAY_DOG,12,16,25,16,-14,-23,25,14,39,37,True
25,GRAVITY_AWAY_DOG,3,13,44,22,13,-15,38,16,25,31,True
26,GRAVITY_HOME_DOG,16,9,16,34,-25,5,14,29,39,24,True
26,GRAVITY_HOME_DOG,14,13,22,24,-19,-12,16,25,35,37,True
27,GRAVITY_AWAY_DOG,7,16,42,16,11,-28,44,14,33,42,True
28,GRAVITY_AWAY_DOG,7,16,43,16,13,-33,41,14,28,47,True
29,GRAVITY_HOME_DOG,16,5,16,48,-35,16,15,44,50,28,True
30,GRAVITY_AWAY_DOG,7,16,49,16,14,-36,36,16,22,52,True
7,GRAVITY_AWAY_DOG,1,15,16,4,6,-7,11,3,5,10,False
12,GRAVITY_AWAY_DOG,3,16,21,4,4,-11,21,5,17,16,False
18,GRAVITY_HOME_DOG,15,10,13,20,-10,-6,17,18,27,24,True
23,GRAVITY_AWAY_DOG,2,13,46,22,24,-5,47,29,23,34,True
24,GRAVITY_AWAY_DOG,4,16,40,11,14,-26,35,12,21,38,True
24,GRAVITY_HOME_DOG,13,3,22,42,-6,13,29,37,35,24,False
25,GRAVITY_HOME_DOG,16,13,11,25,-28,-7,12,23,40,30,True
14,GRAVITY_HOME_DOG,14,8,11,19,-9,1,12,13,21,12,True
22,GRAVITY_AWAY_DOG,16,14,15,20,-16,-18,17,25,33,43,False
10,GRAVITY_HOME_DOG,15,1,6,21,-10,10,8,16,18,6,True
11,GRAVITY_HOME_DOG,14,8,6,15,-8,-3,8,18,16,21,False
11,GRAVITY_AWAY_DOG,3,15,21,6,8,-11,18,8,10,19,True
14,GRAVITY_HOME_DOG,16,14,2,9,-20,-9,6,14,26,23,True
15,GRAVITY_AWAY_DOG,11,16,15,2,-5,-21,9,6,14,27,True
16,GRAVITY_AWAY_DOG,11,16,18,2,-7,-22,22,8,29,30,True
23,CRUSHER_AWAY_FAV,15,2,12,46,-23,18,16,43,39,25,False
29,GRAVITY_AWAY_DOG,9,16,35,13,-4,-30,37,22,41,52,True
30,GRAVITY_HOME_DOG,16,11,13,34,-32,-9,23,22,55,31,True
8,GRAVITY_HOME_DOG,16,14,1,5,-13,-3,3,7,16,10,False
8,GRAVITY_HOME_DOG,13,11,6,9,-3,-3,8,4,11,7,True
9,GRAVITY_AWAY_DOG,2,13,18,6,2,-5,10,9,8,14,True
10,GRAVITY_HOME_DOG,13,9,6,13,-8,-2,9,7,17,9,False
10,CRUSHER_AWAY_FAV,16,1,2,21,-16,5,5,13,21,8,True
11,GRAVITY_AWAY_DOG,10,16,13,2,-5,-18,8,5,13,23,True
12,GRAVITY_HOME_DOG,16,13,2,9,-19,-3,7,10,26,13,False
13,GRAVITY_HOME_DOG,16,10,4,16,-19,0,7,6,26,6,True
14,GRAVITY_AWAY_DOG,14,16,12,4,-9,-21,17,9,26,30,True
22,GRAVITY_HOME_DOG,15,11,10,24,-27,-3,17,25,44,28,True
7,GRAVITY_HOME_DOG,14,8,4,8,-5,-1,1,4,6,5,False
8,GRAVITY_HOME_DOG,15,16,4,3,-7,-11,5,5,12,16,False
8,GRAVITY_AWAY_DOG,7,14,11,6,1,-6,5,6,4,12,True
9,GRAVITY_HOME_DOG,15,5,6,14,-7,3,6,9,13,6,False
10,CRUSHER_HOME_FAV,2,13,19,7,10,-6,14,11,4,17,True
11,GRAVITY_HOME_DOG,14,13,7,9,-9,-10,12,10,21,20,True
12,GRAVITY_HOME_DOG,16,15,7,7,-13,-10,3,12,16,22,False
13,GRAVITY_HOME_DOG,16,14,7,9,-11,-7,12,8,23,15,False
14,GRAVITY_AWAY_DOG,15,16,9,9,-8,-11,8,11,16,22,True
15,GRAVITY_HOME_DOG,16,15,9,11,-13,-10,12,13,25,23,False
19,GRAVITY_HOME_DOG,16,5,12,30,-14,9,12,26,26,17,True
27,GRAVITY_HOME_DOG,16,13,17,28,-24,-17,25,13,49,30,False
13,GRAVITY_AWAY_DOG,6,16,20,3,11,-20,23,8,12,28,True
14,GRAVITY_HOME_DOG,16,10,3,16,-21,-4,9,15,30,19,True
17,GRAVITY_AWAY_DOG,6,13,26,13,9,-15,23,16,14,31,True
18,GRAVITY_HOME_DOG,13,14,13,12,-16,-16,17,15,33,31,False
24,GRAVITY_HOME_DOG,13,12,19,27,-25,-11,20,18,45,29,False
9,GRAVITY_AWAY_DOG,8,15,12,6,3,-12,13,5,10,17,True
10,GRAVITY_HOME_DOG,15,5,6,16,-14,5,5,15,19,10,True
10,GRAVITY_HOME_DOG,14,11,7,11,-11,-1,7,7,18,8,False
11,GRAVITY_AWAY_DOG,6,15,18,6,3,-15,13,6,10,21,True
12,GRAVITY_HOME_DOG,15,10,6,14,-16,2,7,16,23,14,False
18,GRAVITY_HOME_DOG,16,15,6,14,-17,-18,6,18,23,36,True
19,GRAVITY_AWAY_DOG,7,16,30,6,5,-19,26,6,21,25,True
19,GRAVITY_HOME_DOG,15,9,14,27,-19,10,13,33,32,23,True
20,GRAVITY_HOME_DOG,16,11,6,21,-20,-5,6,19,26,24,True
20,GRAVITY_AWAY_DOG,6,15,33,14,7,-20,35,14,28,34,True
21,GRAVITY_HOME_DOG,15,16,14,6,-24,-22,14,6,38,28,False
22,GRAVITY_HOME_DOG,16,14,6,18,-23,-17,8,14,31,31,True
27,GRAVITY_AWAY_DOG,8,16,40,7,4,-33,43,9,39,42,True
29,GRAVITY_AWAY_DOG,1,15,64,24,32,-21,53,30,21,51,True
14,GRAVITY_HOME_DOG,15,16,10,8,-15,-12,13,16,28,28,False
18,GRAVITY_HOME_DOG,15,14,14,16,-10,-9,16,15,26,24,True
24,GRAVITY_AWAY_DOG,3,16,45,11,20,-30,44,27,24,57,True
8,GRAVITY_HOME_DOG,16,13,3,5,-8,-6,5,8,13,14,False
10,GRAVITY_AWAY_DOG,10,16,11,4,-2,-11,10,10,12,21,True
11,GRAVITY_HOME_DOG,16,7,4,16,-15,2,10,11,25,9,True
12,GRAVITY_AWAY_DOG,11,16,10,4,-5,-16,17,10,22,26,True
13,GRAVITY_HOME_DOG,16,6,4,21,-17,-1,11,15,28,16,True
13,GRAVITY_HOME_DOG,14,7,6,20,-13,4,9,15,22,11,False
14,GRAVITY_AWAY_DOG,4,15,25,6,6,-16,15,12,9,28,True
14,GRAVITY_AWAY_DOG,1,16,31,4,17,-18,27,12,10,30,False
15,GRAVITY_HOME_DOG,16,11,6,14,-17,-6,13,20,30,26,True
16,GRAVITY_HOME_DOG,16,7,6,25,-18,-2,13,18,31,20,False
28,GRAVITY_HOME_DOG,16,1,20,60,-23,38,18,65,41,27,True
29,GRAVITY_AWAY_DOG,14,16,24,20,-21,-24,23,19,44,43,True
6,GRAVITY_HOME_DOG,16,12,3,5,-7,-4,4,3,11,7,False
7,GRAVITY_AWAY_DOG,5,15,11,3,1,-5,10,3,9,8,False
8,GRAVITY_AWAY_DOG,13,16,6,4,-8,-12,7,6,15,18,True
9,GRAVITY_HOME_DOG,16,1,4,21,-16,14,7,18,23,4,True
10,GRAVITY_AWAY_DOG,7,16,16,4,3,-19,13,8,10,27,True
10,GRAVITY_HOME_DOG,15,6,6,16,-13,4,6,11,19,7,True
11,GRAVITY_HOME_DOG,16,15,4,7,-21,-13,8,6,29,19,False
15,GRAVITY_AWAY_DOG,5,15,26,7,6,-21,22,8,16,29,True
16,GRAVITY_AWAY_DOG,3,16,31,7,16,-24,29,13,13,37,True
16,GRAVITY_AWAY_DOG,6,15,26,7,7,-23,22,8,15,31,True
17,GRAVITY_HOME_DOG,14,5,11,29,-21,9,9,24,30,15,True
17,GRAVITY_HOME_DOG,16,7,7,26,-26,9,13,26,39,17,True
17,GRAVITY_HOME_DOG,15,1,7,38,-25,19,8,29,33,10,True
18,GRAVITY_AWAY_DOG,4,16,33,7,10,-27,28,13,18,40,True
18,GRAVITY_AWAY_DOG,1,14,39,11,19,-22,30,10,11,32,True
19,GRAVITY_HOME_DOG,14,10,11,23,-24,3,10,21,34,18,True
19,GRAVITY_HOME_DOG,16,5,7,35,-32,11,14,27,46,16,True
20,GRAVITY_AWAY_DOG,12,15,20,11,-11,-26,16,10,27,36,False
20,GRAVITY_AWAY_DOG,2,16,42,7,19,-34,32,15,13,49,True
21,GRAVITY_HOME_DOG,16,9,7,29,-37,6,15,25,52,19,True
22,GRAVITY_AWAY_DOG,13,16,20,7,-15,-38,16,15,31,53,True
27,GRAVITY_AWAY_DOG,6,14,43,21,10,-20,40,19,30,39,True
7,GRAVITY_HOME_DOG,16,2,3,13,-9,6,4,11,13,5,True
8,GRAVITY_AWAY_DOG,13,16,6,3,-2,-11,6,4,8,15,True
9,GRAVITY_AWAY_DOG,16,14,4,4,-11,-9,5,7,16,16,False
15,GRAVITY_HOME_DOG,16,3,7,26,-20,11,7,25,27,14,True
16,GRAVITY_HOME_DOG,16,11,7,16,-22,-5,7,16,29,21,True
17,GRAVITY_AWAY_DOG,4,16,29,7,13,-23,25,7,12,30,True
18,GRAVITY_HOME_DOG,16,13,7,20,-25,-11,7,18,32,29,False
19,GRAVITY_HOME_DOG,14,16,15,10,-15,-20,11,12,26,32,True
20,GRAVITY_AWAY_DOG,11,14,23,15,-3,-16,22,12,25,28,False
20,GRAVITY_HOME_DOG,16,1,11,40,-25,22,13,36,38,14,True
21,GRAVITY_AWAY_DOG,10,16,25,11,3,-30,30,13,27,43,True
22,GRAVITY_AWAY_DOG,5,16,36,11,13,-33,33,14,20,47,True
23,GRAVITY_HOME_DOG,16,11,11,27,-35,-2,14,18,49,20,True
24,GRAVITY_AWAY_DOG,13,16,23,11,-17,-37,23,15,40,52,True
28,GRAVITY_HOME_DOG,15,1,22,54,-23,31,16,50,39,19,True
29,GRAVITY_AWAY_DOG,10,15,35,22,3,-25,39,16,36,41,True
29,GRAVITY_HOME_DOG,14,13,24,28,-23,-10,25,29,48,39,True
14,GRAVITY_HOME_DOG,15,1,7,31,-15,15,6,19,21,4,False
21,GRAVITY_HOME_DOG,16,4,8,38,-33,19,11,36,44,17,True
22,GRAVITY_AWAY_DOG,10,16,23,8,-10,-36,18,11,28,47,True
30,GRAVITY_AWAY_DOG,10,14,37,25,-12,-25,40,23,52,48,True
8,GRAVITY_AWAY_DOG,1,15,17,5,6,-6,14,8,8,14,True
9,GRAVITY_HOME_DOG,15,16,5,5,-9,-10,8,2,17,12,True
10,GRAVITY_HOME_DOG,13,15,9,6,-6,-9,13,9,19,18,True
12,GRAVITY_AWAY_DOG,9,16,13,6,-5,-9,15,11,20,20,True
14,GRAVITY_AWAY_DOG,9,14,15,11,-5,-12,16,8,21,20,True
15,GRAVITY_HOME_DOG,14,7,11,19,-13,5,9,21,22,16,True
16,GRAVITY_HOME_DOG,14,3,11,27,-14,12,10,31,24,19,False
18,GRAVITY_AWAY_DOG,11,16,19,10,-2,-10,26,18,28,28,True
19,GRAVITY_HOME_DOG,14,11,15,20,-13,-2,9,26,22,28,True
21,GRAVITY_AWAY_DOG,9,14,24,18,-4,-15,22,21,26,36,True
22,GRAVITY_HOME_DOG,14,16,18,14,-19,-11,22,20,41,31,True
23,GRAVITY_AWAY_DOG,4,14,39,18,13,-20,36,24,23,44,True
24,GRAVITY_HOME_DOG,14,16,18,17,-22,-19,24,16,46,35,True
25,GRAVITY_AWAY_DOG,10,13,28,19,-7,-17,28,17,35,34,True
26,GRAVITY_HOME_DOG,13,16,19,17,-19,-16,17,25,36,41,True
27,GRAVITY_AWAY_DOG,4,16,48,19,19,-20,43,18,24,38,True
28,GRAVITY_HOME_DOG,16,13,19,24,-21,-15,19,24,40,39,True
8,GRAVITY_HOME_DOG,16,5,2,11,-9,3,4,11,13,8,False
9,GRAVITY_AWAY_DOG,13,16,7,4,-6,-12,4,5,10,17,True
10,GRAVITY_HOME_DOG,16,7,4,12,-14,2,6,14,20,12,True
11,GRAVITY_AWAY_DOG,14,16,8,4,-10,-15,9,8,19,23,True
11,GRAVITY_HOME_DOG,13,15,8,7,-4,-6,11,7,15,13,False
12,GRAVITY_HOME_DOG,16,6,4,18,-16,2,8,17,24,15,False
13,CRUSHER_HOME_FAV,4,15,23,7,8,-11,18,8,10,19,False
16,GRAVITY_AWAY_DOG,9,14,20,14,0,-20,21,14,21,34,False
22,GRAVITY_HOME_DOG,16,3,15,42,-27,13,21,39,48,26,True
14,GRAVITY_AWAY_DOG,3,16,24,6,8,-14,21,11,13,25,True
15,GRAVITY_AWAY_DOG,4,16,26,6,11,-16,25,12,14,28,True
16,GRAVITY_AWAY_DOG,6,16,25,6,0,-17,18,12,18,29,True
7,GRAVITY_HOME_DOG,15,2,3,13,-9,6,3,14,12,8,False
13,GRAVITY_HOME_DOG,15,3,9,21,-10,4,10,18,20,14,True
14,GRAVITY_AWAY_DOG,4,16,23,9,7,-11,22,11,15,22,True
15,GRAVITY_HOME_DOG,16,13,9,14,-14,-6,11,16,25,22,False
21,GRAVITY_AWAY_DOG,3,16,36,15,5,-19,32,14,27,33,False
30,GRAVITY_AWAY_DOG,7,16,44,23,3,-24,34,24,31,48,False
7,GRAVITY_HOME_DOG,16,2,1,15,-6,8,4,12,10,4,True
8,GRAVITY_AWAY_DOG,14,16,6,1,-4,-7,10,4,14,11,True
8,GRAVITY_HOME_DOG,15,4,6,13,-7,3,7,12,14,9,True
12,GRAVITY_AWAY_DOG,5,15,17,9,6,-4,20,13,14,17,True
13,GRAVITY_HOME_DOG,15,7,9,20,-5,4,14,14,19,10,True
14,GRAVITY_AWAY_DOG,6,15,23,9,2,-6,20,14,18,20,True
15,GRAVITY_HOME_DOG,15,5,9,24,-7,6,16,19,23,13,True
16,GRAVITY_HOME_DOG,13,14,14,12,-9,-12,16,15,25,27,False
20,GRAVITY_HOME_DOG,13,12,19,20,-7,-25,28,14,35,39,False
21,CRUSHER_AWAY_FAV,14,2,20,41,-26,15,15,36,41,21,False
28,GRAVITY_HOME_DOG,15,14,25,26,-33,-7,20,32,53,39,False
7,CRUSHER_AWAY_FAV,13,3,5,13,-1,6,9,12,10,6,True
8,GRAVITY_AWAY_DOG,13,14,6,5,-6,-4,4,9,10,13,True
9,GRAVITY_HOME_DOG,15,3,5,18,-6,5,9,15,15,10,True
10,GRAVITY_AWAY_DOG,13,16,9,5,-6,-9,4,9,10,18,True
11,GRAVITY_HOME_DOG,16,9,5,14,-10,-1,9,9,19,10,False
17,GRAVITY_AWAY_DOG,3,14,29,15,9,-5,27,13,18,18,True
18,GRAVITY_HOME_DOG,14,7,15,25,-10,1,13,17,23,16,True
18,CRUSHER_AWAY_FAV,15,3,11,32,-9,14,10,32,19,18,False
19,GRAVITY_AWAY_DOG,11,14,20,15,-6,-12,22,13,28,25,True
21,GRAVITY_HOME_DOG,14,9,20,23,-9,-5,16,24,25,29,True
22,GRAVITY_AWAY_DOG,15,14,19,20,-12,-10,14,16,26,26,True
23,GRAVITY_HOME_DOG,15,11,20,23,-11,-5,17,20,28,25,True
23,GRAVITY_AWAY_DOG,16,14,17,21,-23,-19,14,19,37,38,True
24,GRAVITY_AWAY_DOG,14,15,22,20,-19,-12,20,18,39,30,False
13,GRAVITY_AWAY_DOG,11,14,14,10,-1,-12,12,10,13,22,False
18,GRAVITY_HOME_DOG,15,16,13,9,-15,-15,17,16,32,31,False
27,GRAVITY_HOME_DOG,16,15,14,23,-21,-19,20,18,41,37,True
29,CRUSHER_AWAY_FAV,15,2,24,54,-14,21,27,48,41,27,True
30,GRAVITY_AWAY_DOG,5,15,49,24,9,-15,42,28,33,43,True
9,GRAVITY_AWAY_DOG,12,16,8,1,-1,-13,9,3,10,16,True
10,GRAVITY_HOME_DOG,16,4,1,17,-14,5,4,20,18,15,False
11,GRAVITY_AWAY_DOG,15,16,4,2,-12,-14,6,6,18,20,True
17,GRAVITY_HOME_DOG,16,12,7,15,-19,-6,10,15,29,21,False
19,GRAVITY_AWAY_DOG,13,15,13,9,-11,-24,9,14,20,38,True
20,GRAVITY_HOME_DOG,15,12,9,19,-25,-6,14,18,39,24,True
21,GRAVITY_AWAY_DOG,3,16,40,7,16,-24,30,10,14,34,False
29,GRAVITY_AWAY_DOG,5,13,48,25,11,-18,45,19,34,37,False
20,GRAVITY_HOME_DOG,15,9,13,22,-21,-4,13,21,34,25,True
21,GRAVITY_HOME_DOG,13,15,17,14,-12,-21,22,13,34,34,False
26,GRAVITY_AWAY_DOG,4,13,50,22,15,-22,39,30,24,52,True
27,GRAVITY_HOME_DOG,14,1,22,59,-23,39,30,54,53,15,True
28,GRAVITY_AWAY_DOG,10,15,30,22,-17,-24,29,31,46,55,False
14,GRAVITY_AWAY_DOG,12,15,13,10,-11,-9,12,8,23,17,True
20,GRAVITY_AWAY_DOG,12,15,18,15,-15,-22,24,15,39,37,True
21,GRAVITY_HOME_DOG,15,11,15,21,-23,-8,16,18,39,26,False
27,GRAVITY_AWAY_DOG,14,13,24,25,-17,-21,22,29,39,50,True
28,GRAVITY_HOME_DOG,14,9,25,31,-22,-6,31,30,53,36,True
6,GRAVITY_HOME_DOG,16,15,1,1,-9,-5,3,1,12,6,True
7,GRAVITY_AWAY_DOG,9,16,8,1,-1,-10,9,4,10,14,True
8,GRAVITY_HOME_DOG,16,15,1,4,-15,-6,5,2,20,8,False
11,GRAVITY_AWAY_DOG,10,14,14,8,0,-5,7,8,7,13,False
14,GRAVITY_AWAY_DOG,8,13,20,14,2,-5,16,8,14,13,True
15,GRAVITY_HOME_DOG,13,14,14,10,-7,-10,8,10,15,20,False
25,GRAVITY_AWAY_DOG,5,16,38,12,13,-30,38,19,25,49,True
26,GRAVITY_HOME_DOG,16,6,12,41,-32,3,20,31,52,28,True
27,GRAVITY_AWAY_DOG,9,16,36,12,-3,-33,36,21,39,54,True
28,GRAVITY_HOME_DOG,16,12,12,30,-34,-15,21,25,55,40,True
14,GRAVITY_HOME_DOG,15,8,9,19,-16,2,11,18,27,16,True
15,GRAVITY_AWAY_DOG,10,15,15,9,-10,-19,11,11,21,30,True
16,GRAVITY_AWAY_DOG,9,15,22,9,-7,-20,13,11,20,31,True
17,GRAVITY_HOME_DOG,16,9,9,24,-21,2,11,18,32,16,True
17,CRUSHER_HOME_FAV,3,14,29,13,9,-9,22,17,13,26,True
18,GRAVITY_HOME_DOG,14,16,13,10,-10,-21,17,12,27,33,False
26,GRAVITY_AWAY_DOG,16,15,15,20,-33,-8,20,23,53,31,True
27,GRAVITY_HOME_DOG,15,14,20,21,-9,-16,24,21,33,37,True
28,GRAVITY_AWAY_DOG,1,15,59,20,39,-11,60,24,21,35,True
29,GRAVITY_HOME_DOG,15,7,20,40,-13,11,24,47,37,36,True
11,GRAVITY_AWAY_DOG,9,16,12,6,1,-11,17,6,16,17,True
12,GRAVITY_HOME_DOG,16,12,6,12,-13,3,8,16,21,13,True
16,GRAVITY_HOME_DOG,13,8,15,22,-6,6,14,22,20,16,True
17,GRAVITY_AWAY_DOG,14,13,15,15,-12,-8,6,15,18,23,False
25,GRAVITY_AWAY_DOG,1,16,56,17,27,-21,39,9,12,30,True
26,GRAVITY_HOME_DOG,16,13,17,28,-24,-8,9,27,33,35,True
30,GRAVITY_HOME_DOG,16,10,22,36,-26,-4,26,32,52,36,True
6,GRAVITY_HOME_DOG,15,2,1,11,-5,3,2,7,7,4,True
12,GRAVITY_AWAY_DOG,11,13,12,10,6,-7,20,8,14,15,False
21,GRAVITY_AWAY_DOG,7,16,32,13,1,-13,25,13,24,26,True
22,GRAVITY_HOME_DOG,14,13,18,24,-14,-18,23,19,37,37,False
22,GRAVITY_AWAY_DOG,12,16,25,13,-6,-15,22,13,28,28,True
23,GRAVITY_HOME_DOG,16,8,13,32,-18,8,13,31,31,23,True
