season_num,total_matches,home_wins,win_rate,sma_10
5185,10,4,0.4,0.5133585858585858
5186,8,5,0.625,0.5008585858585859
5187,11,5,0.45454545454545453,0.512979797979798
5188,8,4,0.5,0.512979797979798
5189,9,2,0.2222222222222222,0.48135586635586636
5190,11,3,0.2727272727272727,0.45307303807303806
5191,11,2,0.18181818181818182,0.42510101010101015
5192,11,5,0.45454545454545453,0.4330555555555556
5193,11,5,0.45454545454545453,0.4201767676767677
5194,10,5,0.5,0.40654040404040404
5195,11,7,0.6363636363636364,0.43017676767676766
5196,10,3,0.3,0.39767676767676763
5197,6,3,0.5,0.4022222222222222
5198,12,5,0.4166666666666667,0.3938888888888889
5199,8,6,0.75,0.44666666666666666
5200,9,2,0.2222222222222222,0.4416161616161617
5201,12,3,0.25,0.4484343434343434
5202,7,4,0.5714285714285714,0.4601226551226551
5203,12,4,0.3333333333333333,0.448001443001443
5204,14,8,0.5714285714285714,0.45514430014430013
5205,11,3,0.2727272727272727,0.4187806637806638
5206,9,4,0.4444444444444444,0.4332251082251082
5207,11,5,0.45454545454545453,0.42867965367965366
5208,10,6,0.6,0.44701298701298703
5209,5,3,0.6,0.432012987012987
5210,11,9,0.8181818181818182,0.4916089466089466
5211,12,4,0.3333333333333333,0.4999422799422799
5212,12,7,0.5833333333333334,0.5011327561327562
5213,9,4,0.4444444444444444,0.5122438672438673
5214,12,3,0.25,0.48010101010101003
5215,13,8,0.6153846153846154,0.5143667443667443
5216,9,4,0.4444444444444444,0.5143667443667443
5217,8,4,0.5,0.518912198912199
5218,10,3,0.3,0.488912198912199
5219,11,4,0.36363636363636365,0.46527583527583527
5220,10,6,0.6,0.4434576534576534
5221,10,8,0.8,0.49012432012432017
5222,11,5,0.45454545454545453,0.4772455322455323
5223,9,3,0.3333333333333333,0.4661344211344211
5224,12,7,0.5833333333333334,0.4994677544677545
5225,12,7,0.5833333333333334,0.49626262626262624
5226,7,1,0.14285714285714285,0.4661038961038961
5227,11,5,0.45454545454545453,0.4615584415584416
5228,7,5,0.7142857142857143,0.502987012987013
5229,10,4,0.4,0.5066233766233766
5230,8,4,0.5,0.4966233766233767
5231,6,2,0.3333333333333333,0.44995670995670994
5232,9,3,0.3333333333333333,0.4378354978354978
5233,7,4,0.5714285714285714,0.46164502164502175
5234,9,3,0.3333333333333333,0.4366450216450216
5235,9,5,0.5555555555555556,0.43386724386724385
5236,8,0,0.0,0.41958152958152956
5237,11,5,0.45454545454545453,0.4195815295815296
5238,12,9,0.75,0.42315295815295817
5239,12,9,0.75,0.45815295815295815
5240,12,6,0.5,0.45815295815295815
5241,13,7,0.5384615384615384,0.4786657786657787
5242,8,6,0.75,0.5203324453324454
5243,9,5,0.5555555555555556,0.5187451437451437
5244,10,7,0.7,0.5554118104118104
5245,9,3,0.3333333333333333,0.5331895881895882
5246,13,4,0.3076923076923077,0.5639588189588189
5247,9,6,0.6666666666666666,0.5851709401709402
5248,11,5,0.45454545454545453,0.5556254856254855
5249,12,4,0.3333333333333333,0.5139588189588189
5250,8,3,0.375,0.5014588189588189
5251,7,4,0.5714285714285714,0.5047555222555222
5252,7,3,0.42857142857142855,0.4726126651126651
5253,11,7,0.6363636363636364,0.48069347319347316
5254,11,8,0.7272727272727273,0.4834207459207459
5255,9,4,0.4444444444444444,0.49453185703185704
5256,8,4,0.5,0.5137626262626263
5257,8,6,0.75,0.5220959595959596
