result_id,season_name,season_id,matchday_number,event_id,home_team,away_team,home_goals,away_goals,total_goals,o15,o25,u25,u35,gg,ng,has_core_odds,has_league_snapshot,over_15,over_25,under_25,under_35,gg_yes,ng_yes,home_win,draw,away_win
66292,VFLM 5271,vf:season:3096550,12,vf:season:3096550:12:Manchester Red:Liverpool,Manchester Red,Liverpool,0,0,0,1.3,2.0,1.7,1.25,1.85,1.85,True,True,False,False,True,True,False,True,False,True,False
66297,VFLM 5271,vf:season:3096550,12,vf:season:3096550:12:Tottenham:Manchester Blue,Tottenham,Manchester Blue,0,1,1,1.18,1.65,2.15,1.45,1.55,2.35,True,True,False,False,True,True,False,True,False,False,True
167585,VFLM 5271,vf:season:3096550,12,vf:match:season:vflm5271:md:12:WestHam:Tottenham,West Ham,Tottenham,0,0,0,,,,,,,False,True,False,False,True,True,False,True,False,True,False
167586,VFLM 5271,vf:season:3096550,12,vf:match:season:vflm5271:md:12:Wolverhampton:ManchesterRed,Wolverhampton,Manchester Red,1,4,5,,,,,,,False,True,True,True,False,False,True,False,False,False,True
167577,VFLM 5271,vf:season:3096550,13,vf:match:season:vflm5271:md:13:AstonVilla:CrystalPalace,Aston Villa,Crystal Palace,1,1,2,,,,,,,False,True,True,False,True,True,True,False,False,True,False
66306,VFLM 5271,vf:season:3096550,13,vf:season:3096550:13:Bournemouth:Leeds,Bournemouth,Leeds,2,1,3,1.55,2.8,1.4,1.09,2.3,1.55,True,True,True,True,False,True,True,False,True,False,False
167580,VFLM 5271,vf:season:3096550,13,vf:match:season:vflm5271:md:13:Chelsea:Wolverhampton,Chelsea,Wolverhampton,3,2,5,,,,,,,False,True,True,True,False,False,True,False,True,False,False
66305,VFLM 5271,vf:season:3096550,13,vf:season:3096550:13:Chelsea:Aston Villa,Chelsea,Aston Villa,1,1,2,1.3,1.9,1.8,1.3,1.7,2.0,True,True,True,False,True,True,True,False,False,True,False
167578,VFLM 5271,vf:season:3096550,13,vf:match:season:vflm5271:md:13:Everton:Brighton,Everton,Brighton,1,1,2,,,,,,,False,True,True,False,True,True,True,False,False,True,False
66301,VFLM 5271,vf:season:3096550,13,vf:season:3096550:13:Fulham:Everton,Fulham,Everton,2,2,4,1.65,2.95,1.35,1.09,2.55,1.45,True,True,True,True,False,False,True,False,False,True,False
66307,VFLM 5271,vf:season:3096550,13,vf:season:3096550:13:Liverpool:Brighton,Liverpool,Brighton,0,1,1,1.3,1.8,1.9,1.3,2.15,1.65,True,True,False,False,True,True,False,True,False,False,True
167574,VFLM 5271,vf:season:3096550,13,vf:match:season:vflm5271:md:13:LondonGuns:Bournemouth,London Guns,Bournemouth,1,0,1,,,,,,,False,True,False,False,True,True,False,True,True,False,False
66303,VFLM 5271,vf:season:3096550,13,vf:season:3096550:13:London Guns:Crystal Palace,London Guns,Crystal Palace,1,1,2,1.14,1.6,2.25,1.5,1.8,1.9,True,True,True,False,True,True,True,False,False,True,False
66304,VFLM 5271,vf:season:3096550,13,vf:season:3096550:13:Manchester Blue:West Ham,Manchester Blue,West Ham,3,2,5,1.09,1.3,3.25,1.85,1.6,2.2,True,True,True,True,False,False,True,False,True,False,False
167573,VFLM 5271,vf:season:3096550,13,vf:match:season:vflm5271:md:13:ManchesterBlue:Fulham,Manchester Blue,Fulham,2,0,2,,,,,,,False,True,True,False,True,True,False,True,True,False,False
167575,VFLM 5271,vf:season:3096550,13,vf:match:season:vflm5271:md:13:ManchesterRed:Leeds,Manchester Red,Leeds,1,0,1,,,,,,,False,True,False,False,True,True,False,True,True,False,False
167579,VFLM 5271,vf:season:3096550,13,vf:match:season:vflm5271:md:13:Newcastle:WestHam,Newcastle,West Ham,0,1,1,,,,,,,False,True,False,False,True,True,False,True,False,False,True
66300,VFLM 5271,vf:season:3096550,13,vf:season:3096550:13:Newcastle:Tottenham,Newcastle,Tottenham,0,2,2,1.25,1.8,1.9,1.3,1.75,1.95,True,True,True,False,True,True,False,True,False,False,True
167576,VFLM 5271,vf:season:3096550,13,vf:match:season:vflm5271:md:13:Tottenham:Liverpool,Tottenham,Liverpool,1,1,2,,,,,,,False,True,True,False,True,True,True,False,False,True,False
66302,VFLM 5271,vf:season:3096550,13,vf:season:3096550:13:Wolverhampton:Manchester Red,Wolverhampton,Manchester Red,2,0,2,1.18,1.7,2.05,1.35,1.7,2.05,True,True,True,False,True,True,False,True,True,False,False
66310,VFLM 5271,vf:season:3096550,14,vf:match:1403671232,Aston Villa,Manchester Blue,2,1,3,1.22,1.8,1.9,1.3,1.65,2.15,True,True,True,True,False,True,True,False,True,False,False
167570,VFLM 5271,vf:season:3096550,14,vf:match:season:vflm5271:md:14:Bournemouth:CrystalPalace,Bournemouth,Crystal Palace,3,0,3,,,,,,,False,True,True,True,False,True,False,True,True,False,False
167566,VFLM 5271,vf:season:3096550,14,vf:match:season:vflm5271:md:14:Brighton:LondonGuns,Brighton,London Guns,1,3,4,,,,,,,False,True,True,True,False,False,True,False,False,False,True
66312,VFLM 5271,vf:season:3096550,14,vf:match:1403671234,Brighton,Wolverhampton,4,1,5,1.25,1.7,2.0,1.4,1.65,2.1,True,True,True,True,False,False,True,False,True,False,False
66308,VFLM 5271,vf:season:3096550,14,vf:match:1403671236,Crystal Palace,Fulham,4,0,4,1.5,2.4,1.5,1.15,2.15,1.6,True,True,True,True,False,False,False,True,True,False,False
66313,VFLM 5271,vf:season:3096550,14,vf:match:1403671229,Everton,Liverpool,0,1,1,1.45,2.45,1.5,1.12,2.1,1.65,True,True,False,False,True,True,False,True,False,False,True
167571,VFLM 5271,vf:season:3096550,14,vf:match:season:vflm5271:md:14:Fulham:Everton,Fulham,Everton,1,1,2,,,,,,,False,True,True,False,True,True,True,False,False,True,False
66309,VFLM 5271,vf:season:3096550,14,vf:match:1403671233,Leeds,Chelsea,0,0,0,1.4,2.3,1.55,1.2,2.4,1.5,True,True,False,False,True,True,False,True,False,True,False
167567,VFLM 5271,vf:season:3096550,14,vf:match:season:vflm5271:md:14:Liverpool:Newcastle,Liverpool,Newcastle,1,2,3,,,,,,,False,True,True,True,False,True,True,False,False,False,True
66315,VFLM 5271,vf:season:3096550,14,vf:match:1403671230,Manchester Red,Bournemouth,0,2,2,1.25,1.85,1.85,1.3,2.35,1.55,True,True,True,False,True,True,False,True,False,False,True
167569,VFLM 5271,vf:season:3096550,14,vf:match:season:vflm5271:md:14:Tottenham:AstonVilla,Tottenham,Aston Villa,1,0,1,,,,,,,False,True,False,False,True,True,False,True,True,False,False
66314,VFLM 5271,vf:season:3096550,14,vf:match:1403671231,Tottenham,London Guns,3,1,4,1.2,1.7,2.05,1.4,1.6,2.25,True,True,True,True,False,False,True,False,True,False,False
167565,VFLM 5271,vf:season:3096550,14,vf:match:season:vflm5271:md:14:WestHam:ManchesterRed,West Ham,Manchester Red,1,4,5,,,,,,,False,True,True,True,False,False,True,False,False,False,True
66311,VFLM 5271,vf:season:3096550,14,vf:match:1403671235,West Ham,Newcastle,0,0,0,1.2,1.6,2.2,1.35,1.75,1.95,True,True,False,False,True,True,False,True,False,True,False
167572,VFLM 5271,vf:season:3096550,14,vf:match:season:vflm5271:md:14:Wolverhampton:ManchesterBlue,Wolverhampton,Manchester Blue,1,5,6,,,,,,,False,True,True,True,False,False,True,False,False,False,True
167559,VFLM 5271,vf:season:3096550,15,vf:match:season:vflm5271:md:15:AstonVilla:Bournemouth,Aston Villa,Bournemouth,1,0,1,,,,,,,False,True,False,False,True,True,False,True,True,False,False
66317,VFLM 5271,vf:season:3096550,15,vf:match:1403671239,Bournemouth,Brighton,1,3,4,1.45,2.4,1.5,1.16,2.1,1.65,True,True,True,True,False,False,True,False,False,False,True
167558,VFLM 5271,vf:season:3096550,15,vf:match:season:vflm5271:md:15:Brighton:CrystalPalace,Brighton,Crystal Palace,3,1,4,,,,,,,False,True,True,True,False,False,True,False,True,False,False
66316,VFLM 5271,vf:season:3096550,15,vf:match:1403671237,Chelsea,Manchester Red,2,0,2,1.22,1.7,2.0,1.35,1.6,2.25,True,True,True,False,True,True,False,True,True,False,False
167561,VFLM 5271,vf:season:3096550,15,vf:match:season:vflm5271:md:15:Fulham:LondonGuns,Fulham,London Guns,0,1,1,,,,,,,False,True,False,False,True,True,False,True,False,False,True
66320,VFLM 5271,vf:season:3096550,15,vf:match:1403671241,Fulham,Tottenham,1,1,2,1.35,2.2,1.6,1.18,2.0,1.7,True,True,True,False,True,True,True,False,False,True,False
