# WC pattern chains — spot what leads to odd (1) vs even (0) goals
# MD: 8 bits = WC slots 1..8 | tokens = slot:HW×FW:bit

=== VFLM 5397 ===
  MD24 10101101 | 1:HW×HW:1 2:UMW×UMW:0 3:LMW×HW:1 4:HW×LMW:0 5:FW×UMW:1 6:LMW×UMW:1 7:LMW×FW:0 8:FW×FW:1
  MD25 01110101 | 1:HW×HW:0 2:UMW×UMW:1 3:FW×HW:1 4:HW×LMW:1 5:UMW×FW:0 6:UMW×FW:1 7:LMW×LMW:0 8:FW×LMW:1
  MD26 01000000 | 1:UMW×UMW:0 2:FW×HW:1 3:LMW×HW:0 4:HW×FW:0 5:FW×HW:0 6:LMW×UMW:0 7:UMW×LMW:0 8:LMW×FW:0
  MD27 01011111 | 1:HW×HW:0 2:UMW×UMW:1 3:HW×LMW:0 4:HW×FW:1 5:FW×UMW:1 6:UMW×LMW:1 7:LMW×FW:1 8:FW×LMW:1
  MD28 01100100 | 1:HW×HW:0 2:UMW×UMW:1 3:FW×HW:1 4:FW×HW:0 5:UMW×LMW:0 6:UMW×LMW:1 7:LMW×FW:0 8:FW×LMW:0
  MD29 00001001 | 1:HW×HW:0 2:HW×UMW:0 3:HW×FW:0 4:UMW×FW:0 5:FW×UMW:1 6:LMW×UMW:0 7:LMW×LMW:0 8:LMW×FW:1
  MD30 11011111 | 1:UMW×HW:1 2:FW×HW:1 3:LMW×HW:0 4:HW×LMW:1 5:UMW×LMW:1 6:UMW×LMW:1 7:UMW×FW:1 8:FW×FW:1

=== VFLM 5399 ===
  MD01 11101011 | 1:LMW×LMW:1 2:LMW×LMW:1 3:LMW×LMW:1 4:LMW×LMW:0 5:LMW×LMW:1 6:LMW×LMW:0 7:LMW×LMW:1 8:LMW×LMW:1
  MD02 10010110 | 1:UMW×HW:1 2:UMW×HW:0 3:LMW×HW:0 4:HW×FW:1 5:FW×UMW:0 6:FW×UMW:1 7:LMW×FW:1 8:LMW×LMW:0
  MD03 00110101 | 1:HW×HW:0 2:UMW×HW:0 3:HW×LMW:1 4:UMW×FW:1 5:UMW×LMW:0 6:UMW×LMW:1 7:FW×LMW:0 8:FW×FW:1
  MD04 01001110 | 1:HW×HW:0 2:UMW×UMW:1 3:LMW×HW:0 4:FW×HW:0 5:FW×UMW:1 6:UMW×FW:1 7:LMW×LMW:1 8:LMW×FW:0
  MD05 00100001 | 1:UMW×HW:0 2:HW×UMW:0 3:UMW×UMW:1 4:HW×FW:0 5:HW×LMW:0 6:LMW×FW:0 7:LMW×LMW:0 8:FW×FW:1
  MD06 00011101 | 1:UMW×HW:0 2:UMW×HW:0 3:HW×LMW:0 4:LMW×HW:1 5:FW×UMW:1 6:LMW×UMW:1 7:FW×LMW:0 8:FW×FW:1
  MD07 10111111 | 1:HW×HW:1 2:HW×LMW:0 3:HW×LMW:1 4:FW×UMW:1 5:UMW×FW:1 6:LMW×UMW:1 7:FW×UMW:1 8:FW×LMW:1
  MD08 01101100 | 1:UMW×HW:0 2:UMW×UMW:1 3:LMW×HW:1 4:LMW×HW:0 5:HW×FW:1 6:FW×UMW:1 7:FW×LMW:0 8:FW×LMW:0
  MD09 11100101 | 1:HW×HW:1 2:HW×LMW:1 3:LMW×HW:1 4:FW×UMW:0 5:FW×UMW:0 6:LMW×UMW:1 7:LMW×UMW:0 8:FW×FW:1
  MD10 11111000 | 1:UMW×HW:1 2:HW×FW:1 3:HW×FW:1 4:FW×HW:1 5:UMW×FW:1 6:UMW×LMW:0 7:LMW×UMW:0 8:LMW×LMW:0
  MD11 10100101 | 1:HW×HW:1 2:HW×HW:0 3:FW×UMW:1 4:LMW×UMW:0 5:UMW×LMW:0 6:FW×UMW:1 7:LMW×LMW:0 8:FW×FW:1
  MD12 11010101 | 1:UMW×HW:1 2:FW×HW:1 3:HW×FW:0 4:HW×LMW:1 5:LMW×UMW:0 6:UMW×LMW:1 7:UMW×FW:0 8:FW×LMW:1
  MD13 00010010 | 1:HW×HW:0 2:UMW×HW:0 3:UMW×UMW:0 4:FW×HW:1 5:FW×UMW:0 6:LMW×LMW:0 7:LMW×LMW:1 8:FW×FW:0
  MD14 00000111 | 1:UMW×HW:0 2:HW×UMW:0 3:HW×LMW:0 4:HW×FW:0 5:LMW×UMW:0 6:UMW×FW:1 7:LMW×FW:1 8:FW×LMW:1
  MD15 00000010 | 1:HW×UMW:0 2:UMW×HW:0 3:FW×HW:0 4:HW×LMW:0 5:UMW×FW:0 6:UMW×FW:0 7:LMW×LMW:1 8:LMW×FW:0
