event_id,home_team,away_team,E_total_ou_cdf,E_total_exact_goals,E_total_h2h,E_total_blend,P_T_pmf_ou,top_scorelines_book_cs,top_scorelines_model,actual_total
vf:match:1404291867,Chelsea,Crystal Palace,,,2.78,2.78,,[],"[{'scoreline': '1:1', 'p': 0.1197}, {'scoreline': '1:0', 'p': 0.0897}, {'scoreline': '2:1', 'p': 0.0865}]",3
vf:match:1404291866,Manchester Blue,Liverpool,,,2.967,2.967,,[],"[{'scoreline': '1:1', 'p': 0.1131}, {'scoreline': '2:1', 'p': 0.0872}, {'scoreline': '1:2', 'p': 0.0805}]",6
vf:match:1404291865,Everton,Tottenham,,,2.424,2.424,,[],"[{'scoreline': '1:1', 'p': 0.1299}, {'scoreline': '1:0', 'p': 0.1116}, {'scoreline': '0:1', 'p': 0.103}]",5
vf:match:1404291864,London Guns,Brighton,,,2.561,2.561,,[],"[{'scoreline': '1:1', 'p': 0.1264}, {'scoreline': '1:0', 'p': 0.1028}, {'scoreline': '0:1', 'p': 0.0949}]",1
vf:match:1404291863,Manchester Red,Leeds,,,2.308,2.308,,[],"[{'scoreline': '1:1', 'p': 0.1322}, {'scoreline': '1:0', 'p': 0.1194}, {'scoreline': '0:1', 'p': 0.1102}]",2
vf:match:1404291862,Fulham,Newcastle,,,2.086,2.086,,[],"[{'scoreline': '1:1', 'p': 0.1349}, {'scoreline': '1:0', 'p': 0.1347}, {'scoreline': '0:1', 'p': 0.1243}]",0
vf:match:1404291861,Wolverhampton,Aston Villa,,,2.794,2.794,,[],"[{'scoreline': '1:1', 'p': 0.1192}, {'scoreline': '1:0', 'p': 0.0889}, {'scoreline': '2:1', 'p': 0.0866}]",4
vf:match:1404291860,Newcastle,London Guns,,,2.87,2.87,,[],"[{'scoreline': '1:1', 'p': 0.1166}, {'scoreline': '2:1', 'p': 0.087}, {'scoreline': '1:0', 'p': 0.0846}]",3
vf:match:1404291859,Aston Villa,Fulham,,,2.279,2.279,,[],"[{'scoreline': '1:1', 'p': 0.1327}, {'scoreline': '1:0', 'p': 0.1213}, {'scoreline': '0:1', 'p': 0.112}]",4
vf:match:1404291858,Leeds,Crystal Palace,,,2.106,2.106,,[],"[{'scoreline': '1:1', 'p': 0.1348}, {'scoreline': '1:0', 'p': 0.1333}, {'scoreline': '0:1', 'p': 0.123}]",1
vf:match:1404291857,Brighton,Manchester Blue,,,2.922,2.922,,[],"[{'scoreline': '1:1', 'p': 0.1147}, {'scoreline': '2:1', 'p': 0.0871}, {'scoreline': '1:0', 'p': 0.0818}]",2
vf:match:1404291856,Manchester Red,Wolverhampton,,,3.061,3.061,,[],"[{'scoreline': '1:1', 'p': 0.1095}, {'scoreline': '2:1', 'p': 0.0872}, {'scoreline': '1:2', 'p': 0.0805}]",4
vf:match:1404291855,Bournemouth,Everton,,,1.99,1.99,,[],"[{'scoreline': '1:0', 'p': 0.1415}, {'scoreline': '0:0', 'p': 0.1367}, {'scoreline': '1:1', 'p': 0.1351}]",1
vf:match:1404291854,Tottenham,Chelsea,,,2.794,2.794,,[],"[{'scoreline': '1:1', 'p': 0.1192}, {'scoreline': '1:0', 'p': 0.0889}, {'scoreline': '2:1', 'p': 0.0866}]",4
vf:match:1404291853,Liverpool,West Ham,,,2.612,2.612,,[],"[{'scoreline': '1:1', 'p': 0.125}, {'scoreline': '1:0', 'p': 0.0997}, {'scoreline': '0:1', 'p': 0.092}]",3
vf:match:1404291852,Everton,Liverpool,,,2.168,2.168,,[],"[{'scoreline': '1:1', 'p': 0.1342}, {'scoreline': '1:0', 'p': 0.129}, {'scoreline': '0:1', 'p': 0.1191}]",1
vf:match:1404291851,Manchester Blue,Newcastle,,,3.073,3.073,,[],"[{'scoreline': '1:1', 'p': 0.1091}, {'scoreline': '2:1', 'p': 0.0872}, {'scoreline': '1:2', 'p': 0.0805}]",3
vf:match:1404291850,Chelsea,Bournemouth,,,2.558,2.558,,[],"[{'scoreline': '1:1', 'p': 0.1265}, {'scoreline': '1:0', 'p': 0.103}, {'scoreline': '0:1', 'p': 0.0951}]",3
vf:match:1404291849,London Guns,Aston Villa,,,2.255,2.255,,[],"[{'scoreline': '1:1', 'p': 0.1331}, {'scoreline': '1:0', 'p': 0.123}, {'scoreline': '0:1', 'p': 0.1135}]",2
vf:match:1404291848,Crystal Palace,Tottenham,,,2.85,2.85,,[],"[{'scoreline': '1:1', 'p': 0.1173}, {'scoreline': '2:1', 'p': 0.0869}, {'scoreline': '1:0', 'p': 0.0857}]",5
vf:match:1404291847,Fulham,Manchester Red,,,2.319,2.319,,[],"[{'scoreline': '1:1', 'p': 0.132}, {'scoreline': '1:0', 'p': 0.1186}, {'scoreline': '0:1', 'p': 0.1095}]",2
vf:match:1404291846,Wolverhampton,Leeds,,,2.391,2.391,,[],"[{'scoreline': '1:1', 'p': 0.1306}, {'scoreline': '1:0', 'p': 0.1138}, {'scoreline': '0:1', 'p': 0.1051}]",4
vf:match:1404291845,West Ham,Brighton,,,2.532,2.532,,[],"[{'scoreline': '1:1', 'p': 0.1272}, {'scoreline': '1:0', 'p': 0.1047}, {'scoreline': '0:1', 'p': 0.0966}]",6
vf:match:1404291844,Aston Villa,Manchester Blue,,,2.749,2.749,,[],"[{'scoreline': '1:1', 'p': 0.1207}, {'scoreline': '1:0', 'p': 0.0915}, {'scoreline': '2:1', 'p': 0.0863}]",1
vf:match:1404291843,Brighton,Everton,,,2.064,2.064,,[],"[{'scoreline': '1:0', 'p': 0.1362}, {'scoreline': '1:1', 'p': 0.135}, {'scoreline': '0:0', 'p': 0.1269}]",2
vf:match:1404291842,Bournemouth,Crystal Palace,,,2.496,2.496,,[],"[{'scoreline': '1:1', 'p': 0.1282}, {'scoreline': '1:0', 'p': 0.107}, {'scoreline': '0:1', 'p': 0.0987}]",3
vf:match:1404291841,Wolverhampton,Fulham,,,2.516,2.516,,[],"[{'scoreline': '1:1', 'p': 0.1276}, {'scoreline': '1:0', 'p': 0.1057}, {'scoreline': '0:1', 'p': 0.0976}]",1
vf:match:1404291840,Liverpool,Chelsea,,,2.742,2.742,,[],"[{'scoreline': '1:1', 'p': 0.1209}, {'scoreline': '1:0', 'p': 0.0919}, {'scoreline': '2:1', 'p': 0.0862}]",2
vf:match:1404291839,Newcastle,West Ham,,,2.888,2.888,,[],"[{'scoreline': '1:1', 'p': 0.1159}, {'scoreline': '2:1', 'p': 0.087}, {'scoreline': '1:0', 'p': 0.0836}]",3
vf:match:1404291838,Leeds,Tottenham,,,2.042,2.042,,[],"[{'scoreline': '1:0', 'p': 0.1378}, {'scoreline': '1:1', 'p': 0.1351}, {'scoreline': '0:0', 'p': 0.1298}]",1
vf:match:1404291837,Manchester Red,London Guns,,,2.946,2.946,,[],"[{'scoreline': '1:1', 'p': 0.1138}, {'scoreline': '2:1', 'p': 0.0872}, {'scoreline': '1:0', 'p': 0.0805}]",2
vf:match:1404291836,Chelsea,Brighton,,,2.796,2.796,,[],"[{'scoreline': '1:1', 'p': 0.1191}, {'scoreline': '1:0', 'p': 0.0888}, {'scoreline': '2:1', 'p': 0.0866}]",3
vf:match:1404291835,London Guns,Wolverhampton,,,3.028,3.028,,[],"[{'scoreline': '1:1', 'p': 0.1108}, {'scoreline': '2:1', 'p': 0.0872}, {'scoreline': '1:2', 'p': 0.0805}]",2
