team,opponent,role,n,mean_team_goals,mean_opp_goals,mean_total,pct_odd_total,pct_win
Everton,London Guns,away,857,0.943,1.579,2.522,46.32,23.1
Everton,London Guns,home,805,1.04,1.161,2.201,39.25,33.79
Everton,Manchester Blue,away,810,0.688,1.99,2.678,49.75,14.32
Everton,Manchester Blue,home,850,0.909,1.494,2.404,41.06,21.88
Everton,Manchester Red,away,831,0.757,1.765,2.522,38.99,15.88
Everton,Manchester Red,home,823,0.985,1.315,2.3,59.17,28.55
Everton,Newcastle,away,858,0.939,0.896,1.836,39.51,34.15
Everton,Newcastle,home,819,1.549,0.648,2.198,51.77,59.46
Everton,Tottenham,away,809,0.92,1.659,2.578,49.44,24.23
Everton,Tottenham,home,864,1.192,1.088,2.28,43.98,40.28
Everton,West Ham,away,836,1.138,1.222,2.36,49.4,35.77
Everton,West Ham,home,897,1.254,1.05,2.304,55.85,42.7
Everton,Wolverhampton,away,833,0.972,1.256,2.228,50.18,29.05
Everton,Wolverhampton,home,868,1.518,1.016,2.535,58.06,52.07
Fulham,Aston Villa,away,856,0.568,1.894,2.461,46.85,10.16
Fulham,Aston Villa,home,865,0.54,1.56,2.099,34.45,9.48
Fulham,Bournemouth,away,835,0.813,1.159,1.972,48.74,29.34
Fulham,Bournemouth,home,864,1.111,0.924,2.035,51.39,34.14
Fulham,Brighton,away,823,0.74,1.355,2.095,49.82,19.68
Fulham,Brighton,home,844,0.865,1.114,1.979,58.53,28.08
Fulham,Chelsea,away,862,0.557,2.217,2.774,46.29,5.68
Fulham,Chelsea,home,860,0.853,1.647,2.5,47.44,18.26
Fulham,Crystal Palace,away,837,0.932,1.286,2.217,52.33,25.33
Fulham,Crystal Palace,home,825,1.029,0.965,1.994,50.79,36.24
Fulham,Everton,away,863,0.729,1.371,2.1,52.84,21.9
Fulham,Everton,home,815,0.769,1.072,1.842,54.85,24.17
Fulham,Leeds,away,831,0.706,0.91,1.616,50.9,25.27
Fulham,Leeds,home,847,0.825,0.989,1.815,44.75,25.86
Fulham,Liverpool,away,848,0.524,1.896,2.42,37.5,8.61
Fulham,Liverpool,home,849,0.623,1.571,2.194,49.59,15.67
Fulham,London Guns,away,873,0.735,2.097,2.833,58.08,13.06
Fulham,London Guns,home,829,0.764,1.532,2.296,60.19,18.7
Fulham,Manchester Blue,away,824,0.448,2.258,2.706,48.3,6.07
Fulham,Manchester Blue,home,845,0.731,1.376,2.108,45.8,19.05
Fulham,Manchester Red,away,850,0.594,1.832,2.426,54.59,14.59
Fulham,Manchester Red,home,845,0.672,1.54,2.212,57.63,18.46
Fulham,Newcastle,away,855,0.92,1.184,2.104,41.05,21.05
Fulham,Newcastle,home,850,1.128,0.939,2.067,54.24,41.76
Fulham,Tottenham,away,839,0.582,1.775,2.356,54.47,12.04
Fulham,Tottenham,home,878,0.708,1.654,2.362,52.16,17.08
Fulham,West Ham,away,876,0.947,1.455,2.403,55.59,22.03
Fulham,West Ham,home,831,1.099,1.38,2.479,64.02,36.22
Fulham,Wolverhampton,away,798,0.965,1.674,2.639,44.86,20.43
Fulham,Wolverhampton,home,866,1.234,1.167,2.402,57.51,42.03
Leeds,Aston Villa,away,822,0.698,1.5,2.198,50.24,17.4
Leeds,Aston Villa,home,837,0.692,1.192,1.884,54.36,21.51
Leeds,Bournemouth,away,844,0.976,0.959,1.935,48.7,34.12
Leeds,Bournemouth,home,837,1.337,0.703,2.039,48.39,50.54
Leeds,Brighton,away,851,0.87,0.967,1.837,56.52,35.37
Leeds,Brighton,home,832,0.906,1.031,1.938,40.14,25.72
Leeds,Chelsea,away,828,0.598,1.897,2.495,45.65,11.35
Leeds,Chelsea,home,814,0.686,1.64,2.326,51.47,10.32
Leeds,Crystal Palace,away,859,0.952,1.15,2.102,41.68,24.68
Leeds,Crystal Palace,home,832,1.261,0.849,2.109,50.6,45.91
Leeds,Everton,away,833,0.546,1.067,1.613,47.3,19.93
Leeds,Everton,home,873,0.629,1.041,1.67,39.4,19.13
Leeds,Fulham,away,847,0.989,0.825,1.815,44.75,38.61
Leeds,Fulham,home,831,0.91,0.706,1.616,50.9,42.96
Leeds,Liverpool,away,830,0.429,1.918,2.347,42.41,5.3
Leeds,Liverpool,home,865,0.765,1.295,2.06,48.79,23.47
Leeds,London Guns,away,832,0.767,1.832,2.599,53.85,16.71
Leeds,London Guns,home,840,0.787,1.252,2.039,48.21,24.4
Leeds,Manchester Blue,away,851,0.659,2.165,2.824,44.07,5.76
Leeds,Manchester Blue,home,871,0.59,1.54,2.13,50.86,14.81
Leeds,Manchester Red,away,851,0.465,2.116,2.582,41.25,2.59
Leeds,Manchester Red,home,868,0.456,1.584,2.04,53.11,7.72
Leeds,Newcastle,away,849,0.991,1.303,2.293,58.3,29.56
Leeds,Newcastle,home,847,1.17,1.105,2.275,52.54,37.19
Leeds,Tottenham,away,859,0.476,1.676,2.153,35.97,8.03
Leeds,Tottenham,home,877,0.714,1.22,1.934,56.33,26.23
Leeds,West Ham,away,860,1.002,1.415,2.417,45.93,28.02
Leeds,West Ham,home,831,0.941,1.156,2.097,48.01,27.08
Leeds,Wolverhampton,away,846,0.913,1.465,2.377,55.91,21.63
Leeds,Wolverhampton,home,864,1.164,1.241,2.405,53.94,40.62
Liverpool,Aston Villa,away,839,1.242,1.13,2.372,61.98,41.24
Liverpool,Aston Villa,home,813,1.685,0.9,2.585,46.74,53.63
Liverpool,Bournemouth,away,838,1.969,0.776,2.745,42.24,63.72
Liverpool,Bournemouth,home,884,2.146,0.665,2.811,37.44,70.14
Liverpool,Brighton,away,830,1.541,1.022,2.563,47.35,42.89
Liverpool,Brighton,home,834,2.101,0.592,2.693,51.8,73.98
Liverpool,Chelsea,away,851,1.298,1.442,2.74,51.23,38.43
Liverpool,Chelsea,home,837,1.504,1.24,2.744,52.45,44.32
Liverpool,Crystal Palace,away,863,1.921,0.709,2.63,43.11,71.26
Liverpool,Crystal Palace,home,866,2.542,0.49,3.031,43.3,77.83
Liverpool,Everton,away,845,1.331,0.73,2.062,51.6,48.05
Liverpool,Everton,home,874,1.681,0.59,2.271,51.6,60.07
Liverpool,Fulham,away,849,1.571,0.623,2.194,49.59,61.25
Liverpool,Fulham,home,848,1.896,0.524,2.42,37.5,71.46
Liverpool,Leeds,away,865,1.295,0.765,2.06,48.79,51.91
Liverpool,Leeds,home,830,1.918,0.429,2.347,42.41,64.94
Liverpool,London Guns,away,824,1.602,1.439,3.041,54.37,46.12
