team,tier_x1,role,n,top_scoreline_ha,top_pct_ha,top2_scoreline_ha,top2_pct_ha,top_team_view,top_pct_team_view,mean_team_goals,mean_opp_goals,pct_win,pct_draw,pct_loss,mean_total_goals
Leeds,T2,home,1572,1:1,13.55,0:0,13.04,1:1,13.55,0.929,1.147,30.03,30.03,39.95,2.076
Leeds,T3,away,4393,1:0,13.91,1:1,11.79,0:1,13.91,0.799,1.453,21.53,27.95,50.51,2.251
Leeds,T3,home,4295,0:1,14.74,0:0,12.97,0:1,14.74,0.893,1.177,28.73,28.22,43.05,2.07
Leeds,T4,away,5815,1:0,14.91,1:1,12.16,0:1,14.91,0.702,1.519,17.35,27.79,54.86,2.221
Leeds,T4,home,6046,0:1,17.48,0:0,13.08,0:1,17.48,0.817,1.167,26.27,28.58,45.15,1.983
Liverpool,T1,away,7531,0:1,11.58,1:1,11.53,1:0,11.58,1.515,1.076,49.5,23.61,26.89,2.591
Liverpool,T1,home,7336,2:0,14.01,1:0,11.63,2:0,14.01,2.033,0.769,66.97,18.24,14.79,2.802
Liverpool,T2,away,3455,1:1,12.91,0:1,11.03,1:1,12.91,1.446,1.095,44.95,25.15,29.9,2.54
Liverpool,T2,home,3585,2:0,13.67,1:0,11.58,2:0,13.67,1.806,0.852,58.52,22.01,19.47,2.658
Liverpool,T3,away,1040,1:1,13.08,0:1,12.6,1:1,13.08,1.388,1.138,42.69,23.17,34.13,2.525
Liverpool,T3,home,1071,2:0,15.59,1:1,9.34,2:0,15.59,1.828,0.844,58.08,21.94,19.98,2.672
Liverpool,T4,away,230,0:1,17.39,1:2,10.43,1:0,17.39,1.465,1.104,50.43,19.57,30.0,2.57
Liverpool,T4,home,262,2:0,16.79,1:0,11.07,2:0,16.79,1.889,0.859,63.36,19.85,16.79,2.748
London Guns,T1,away,4612,1:1,10.52,0:1,9.74,1:1,10.52,1.395,1.25,42.19,23.44,34.37,2.645
