event_id,actual_odd,total_goals,p_odd_from_correct_score,cs_lines,p_odd_oe_market,p_odd_exact_goals,p_over25,gap_cs_minus_oe,cs_pick_odd,oe_pick_odd
vf:match:1404268913,0,2,0.49934743577926916,16,0.5,0.4968112634805404,0.42105263157894735,-0.0006525642207308446,0,1
vf:match:1404268907,1,3,0.4993493269080764,16,0.49315068493150677,0.47413901112321716,0.5333333333333333,0.006198641976569608,0,0
vf:match:1404268906,1,3,0.4911216620874458,16,0.49315068493150677,0.48265084114520257,0.5466666666666666,-0.002029022844060979,0,0
vf:match:1404268901,0,2,0.4907451715934125,16,0.4794520547945205,0.47211945330604843,0.5,0.011293116798892,0,0
vf:match:1404268880,0,4,0.5019922506002041,16,0.5,0.4964276736473603,0.375,0.0019922506002041374,1,1
vf:match:1404268874,0,4,0.4717038988736012,16,0.4794520547945205,0.46923757062512994,0.5405405405405405,-0.00774815592091932,0,0
vf:match:1404268871,1,1,0.5376920682501537,16,0.5277777777777778,0.5155953801840466,0.5466666666666666,0.009914290472375908,1,1
vf:match:1404268870,1,5,0.5644994717312304,16,0.5416666666666666,0.5220195042733207,0.6025641025641025,0.022832805064563755,1,1
vf:match:1404268868,1,3,0.517202960019948,16,0.5068493150684932,0.5046174324499428,0.5844155844155844,0.010353644951454855,1,1
vf:match:1404268866,0,4,0.5336710778659176,16,0.5138888888888888,0.5175392340655403,0.43421052631578944,0.01978218897702877,1,1
vf:match:1404268862,1,1,0.527053128922106,16,0.5277777777777778,0.5220794208921739,0.44,-0.0007246488556718056,1,1
vf:match:1404268856,1,7,0.4837906279045393,16,0.4794520547945205,0.4309104942336781,0.717391304347826,0.004338573110018784,0,0
vf:match:1404268855,0,2,0.49235935891626914,15,0.4794520547945205,0.4691959758260315,0.41558441558441556,0.01290730412174862,0,0
vf:match:1404268852,0,2,0.5104506948979619,16,0.5138888888888888,0.49606799939403057,0.6463414634146342,-0.00343819399092693,1,1
vf:match:1404268850,0,2,0.5004443065327501,16,0.5068493150684932,0.5017763627887312,0.45945945945945943,-0.006405008535743106,1,1
vf:match:1404268846,0,2,0.4819183635856495,16,0.48611111111111105,0.47115079958933814,0.41558441558441556,-0.00419274752546156,0,0
vf:match:1404268845,0,0,0.47427946204889665,16,0.4722222222222222,0.4706694307168125,0.375,0.0020572398266744396,0,0
vf:match:1404268836,1,1,0.5073773830681293,16,0.5138888888888888,0.5006469839390439,0.4533333333333333,-0.006511505820759544,1,1
vf:match:1404268824,1,3,0.5012572319762318,16,0.5,0.5026541758423007,0.3414634146341463,0.001257231976231843,1,1
vf:match:1404268822,0,0,0.4970362798577626,16,0.48611111111111105,0.47666091051605364,0.5657894736842105,0.010925168746651559,0,0
vf:match:1404268817,1,3,0.4786171204226214,16,0.4722222222222222,0.44433545022323234,0.6329113924050633,0.0063948982003991794,0,0
vf:match:1404268816,0,4,0.510310335460124,16,0.5,0.48880638742576143,0.5135135135135135,0.010310335460124054,1,1
vf:match:1404268815,0,2,0.4756290007190638,16,0.48611111111111105,0.4781715018634582,0.35802469135802467,-0.010482110392047272,0,0
vf:match:1404263457,1,3,0.4823185799623305,16,0.4722222222222222,0.4719732797801501,0.33333333333333337,0.010096357740108308,0,0
vf:match:1404263449,0,2,0.4890862225567579,15,0.4794520547945205,0.4681239871768447,0.41558441558441556,0.009634167762237356,0,0
vf:match:1404263448,0,6,0.5167037878958294,16,0.5068493150684932,0.49245113187499234,0.5,0.009854472827336203,1,1
vf:match:1404263447,1,3,0.5164758184341934,16,0.5,0.4986116385807767,0.5135135135135135,0.016475818434193434,1,1
vf:match:1404263446,0,0,0.4994563463563917,16,0.5,0.4970328904677954,0.4864864864864864,-0.0005436536436083106,0,1
vf:match:1404263433,0,2,0.5043513733820953,16,0.49315068493150677,0.4785001335670727,0.5657894736842105,0.01120068845058858,1,0
vf:match:1404263432,0,4,0.4945746105213037,16,0.49315068493150677,0.48982222367101363,0.36250000000000004,0.001423925589796926,0,0
vf:match:1404263425,0,2,0.5112861647722043,16,0.5138888888888888,0.4936403142955884,0.5789473684210527,-0.002602724116684496,1,1
vf:match:1404263423,1,5,0.5110228289527748,16,0.5138888888888888,0.49685837743031896,0.5,-0.002866059936113996,1,1
vf:match:1404263420,1,1,0.5281264680810711,15,0.5205479452054794,0.5217797162426452,0.4266666666666667,0.007578522875591687,1,1
vf:match:1404263419,1,1,0.4980187503716255,16,0.48611111111111105,0.4839377096909598,0.5,0.011907639260514469,0,0
vf:match:1404263416,0,2,0.5232158205447726,16,0.5138888888888888,0.509532894116823,0.3974358974358974,0.009326931655883719,1,1
vf:match:1404263415,0,2,0.5050713726711905,16,0.5068493150684932,0.5028074342812909,0.43421052631578944,-0.0017779423973026676,1,1
vf:match:1404263402,0,2,0.5240275830017078,15,0.49315068493150677,0.4793347788418807,0.5657894736842105,0.030876898070201053,1,0
vf:match:1404263394,0,2,0.4785991923870694,16,0.4722222222222222,0.4712375632474085,0.4266666666666667,0.006376970164847173,0,0
vf:match:1404263384,0,0,0.5625322353616229,16,0.5416666666666666,0.525079347977356,0.6025641025641025,0.02086556869495626,1,1
vf:match:1404263383,0,2,0.4916621995765746,16,0.4794520547945205,0.4728836790984499,0.4533333333333333,0.012210144782054067,0,0
vf:match:1404263381,0,4,0.525114901621278,16,0.5,0.5030023004663966,0.4666666666666667,0.025114901621278052,1,1
vf:match:1404263371,1,1,0.451129612324088,16,0.452054794520548,0.43076869261413786,0.56,-0.0009251821964599838,0,0
vf:match:1404263362,0,2,0.5082163128485163,16,0.48611111111111105,0.46801792501629363,0.6329113924050633,0.022105201737405267,1,0
vf:match:1404263357,1,3,0.5158368272004711,16,0.5138888888888888,0.5179527198465315,0.36250000000000004,0.0019479383115822424,1,1
vf:match:1404263354,1,3,0.46795302910078107,16,0.4722222222222222,0.4656255999818101,0.33333333333333337,-0.004269193121441139,0,0
vf:match:1404263353,1,1,0.526423944976398,15,0.5138888888888888,0.4953885389211524,0.6823529411764706,0.012535056087509155,1,1
vf:match:1404263351,0,4,0.49572168028196484,16,0.5068493150684932,0.49387599082771777,0.5844155844155844,-0.01112763478652834,0,1
